iteration,iteration-mean-cost,best-cost
1072,13158.7,8748.8
1073,13476.4,8748.8
1074,13486.8,8748.8
1075,12970.2,8748.8
1076,13434.0,8748.8
1077,12929.4,8748.8
1078,13679.3,8748.8
1079,12850.7,8748.8
1080,13502.6,8748.8
1081,12945.5,8748.8
1082,13332.9,8748.8
1083,13320.7,8748.8
1084,13278.3,8748.8
1085,13538.6,8748.8
1086,13062.2,8748.8
1087,13763.5,8748.8
1088,13480.3,8748.8
1089,13377.7,8748.8
1090,13268.9,8748.8
1091,13575.2,8748.8
1092,13213.9,8748.8
1093,12928.0,8748.8
1094,12866.3,8748.8
1095,12814.3,8748.8
1096,12929.6,8748.8
1097,13292.5,8748.8
1098,13187.9,8748.8
1099,12438.7,8748.8
1100,13125.9,8748.8
1101,13093.5,8748.8
1102,13010.9,8748.8
1103,12544.7,8748.8
1104,12940.5,8748.8
1105,13225.9,8748.8
1106,12878.6,8748.8
1107,13150.8,8748.8
1108,13203.0,8748.8
1109,13555.5,8748.8
1110,12972.3,8748.8
1111,12370.0,8748.8
1112,12932.6,8748.8
1113,12799.7,8748.8
1114,13626.9,8748.8
1115,13151.5,8748.8
1116,12802.4,8748.8
1117,12959.1,8748.8
1118,13190.0,8748.8
1119,12856.4,8748.8
1120,13266.0,8748.8
1121,13058.7,8748.8
1122,13231.5,8748.8
1123,13236.6,8748.8
1124,13439.4,8748.8
1125,13777.5,8748.8
1126,12758.0,8748.8
1127,13475.6,8748.8
1128,13092.7,8748.8
1129,12738.3,8748.8
1130,13451.9,8748.8
1131,13037.4,8748.8
1132,13313.7,8748.8
1133,12786.7,8748.8
1134,13228.4,8748.8
1135,13250.3,8748.8
1136,13240.8,8748.8
1137,13575.1,8748.8
1138,12967.5,8748.8
1139,13389.0,8748.8
1140,13295.0,8748.8
1141,13436.9,8748.8
1142,13128.3,8748.8
1143,13592.1,8748.8
1144,13068.6,8748.8
1145,13344.9,8748.8
1146,12974.6,8748.8
1147,13059.5,8748.8
